tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
mapeamento direto,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,Eletiva,4,Concepcao de Circuitos Integrados I,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO III,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO III,Eletiva,2
mapeamento direto,ARQUITETURAS AVANÇADAS DE COMPUTADORES,Eletiva,4,Arquiteturas Avancadas de Computadores,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IV,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO IV,Eletiva,2
mapeamento direto,ALGORÍTMOS E PROGRAMAÇÃO - CIC,Obrigatória,6,Algoritmos e Programação,Obrigatória,6
mapeamento direto,ESTRUTURAS DE DADOS,Obrigatória,4,Estruturas de Dados,Obrigatória,4
mapeamento direto,CAD PARA SISTEMAS DIGITAIS,Eletiva,4,Cad para Sistemas Digitais,Eletiva,4
mapeamento direto,FUNDAMENTOS DE TOLERÂNCIA A FALHAS,Obrigatória,4,Fundamentos de Tolerancia A Falhas,Eletiva,4
mapeamento direto,FOTOGRAFIA COMPUTACIONAL,Eletiva,4,Fotografia Computacional,Eletiva,4
mapeamento direto,TESTE DE SOFTWARE,Eletiva,4,Teste de Software,Eletiva,4
mapeamento direto,MÉTODOS ÁGEIS,Eletiva,4,Metodos Ageis,Eletiva,4
mapeamento direto,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,Eletiva,4,Modelagem e Gerenciamento de Processos de Negocio,Eletiva,4
mapeamento direto,TENDÊNCIAS EM ENGENHARIA DE SOFTWARE,Eletiva,4,Tendencias em Engenharia de Software,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXXIII,Eletiva,4
mapeamento não direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIV,Eletiva,4,Processamento de Linguagem Natural,Obrigatória,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXV,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXXV,Eletiva,4
mapeamento não direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVI,Eletiva,4,Processamento de Linguagem Natural,Obrigatória,4
mapeamento direto,LABORATÓRIO DE PROGRAMAÇÃO EM LÓGICA,Eletiva,4,Laboratorio de Programacao em Logica,Eletiva,4
mapeamento direto,TEORIA DA COMPUTAÇÃO DISTRIBUÍDA,Eletiva,4,Teoria da Computacao Distribuida,Eletiva,4
